;  Created 01-Feb-2016 ECMD Adapted from stx_cfl_skyvec_table.txt 20-Jun-2013 - Shaun Bloomfield (TCD)
;
;  CFL sky X sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL sky Y sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL [npixels, nvectors] sky vector array, nominally has [12, 4489] entries where nvectors is nsky_x*nsky_y (67x67)
;
0.0128179 0.0000000 0.0176479 0.0128177 0.0000000 0.0000000 0.0000000 0.0000000 0.2398877 0.1451757 0.0000000 0.0000000 
0.0223699 0.0000000 0.0080004 0.0223699 0.0000000 0.0000000 0.0000000 0.0000000 0.2391368 0.1636036 0.0000000 0.0000000 
0.0318441 0.0000000 0.0000000 0.0302584 0.0000000 0.0000000 0.0000000 0.0000000 0.2382552 0.1818128 0.0000000 0.0000000 
0.0412383 0.0000000 0.0000000 0.0301397 0.0000000 0.0000000 0.0000000 0.0000000 0.2373203 0.1998377 0.0000000 0.0000000 
0.0505376 0.0000000 0.0000000 0.0300091 0.0000000 0.0000000 0.0000000 0.0000000 0.2362928 0.2176297 0.0000000 0.0000000 
0.0597315 0.0000000 0.0000000 0.0298673 0.0000000 0.0000000 0.0000000 0.0000000 0.2351764 0.2351699 0.0000000 0.0000000 
0.0597462 0.0094312 0.0000000 0.0204420 0.0000000 0.0000000 0.0000000 0.0000000 0.2352214 0.2352214 0.0000000 0.0000000 
0.0597471 0.0188658 0.0000000 0.0110077 0.0000000 0.0000000 0.0000000 0.0000000 0.2352249 0.2352249 0.0000000 0.0000000 
0.0597374 0.0282956 0.0000000 0.0015731 0.0000000 0.0000000 0.0000000 0.0000000 0.2351865 0.2351865 0.0000000 0.0000000 
0.0597188 0.0377166 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2351136 0.2351136 0.0000000 0.0000000 
0.0596949 0.0471276 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2350196 0.2350196 0.0000000 0.0000000 
0.0596658 0.0565260 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2349048 0.2349048 0.0000000 0.0000000 
0.0596537 0.0596537 0.0062802 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2348573 0.2348573 0.0000000 0.0000000 
0.0596476 0.0596476 0.0156977 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2348330 0.2348330 0.0000000 0.0000000 
0.0596361 0.0596361 0.0251111 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2347879 0.2347879 0.0000000 0.0000000 
0.0596194 0.0596194 0.0345178 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2347220 0.2347220 0.0000000 0.0000000 
0.0595973 0.0595973 0.0439149 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2346354 0.2346354 0.0000000 0.0000000 
0.0595701 0.0595701 0.0533005 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2345281 0.2345281 0.0000000 0.0000000 
0.0595487 0.0595487 0.0595487 0.0031353 0.0000000 0.0000000 0.0000000 0.0000000 0.2344440 0.2344440 0.0000000 0.0000000 
