source_id,source_sub_id,start_time,duration,shape,xcen,ycen,flux,distance,fwhm_wd,fwhm_ht,phi,loop_ht,time_distribution,time_distribution_param1,time_distribution_param2,energy_spectrum_type,energy_spectrum_param1,energy_spectrum_param2,background_multiplier,background_multiplier_1, background_multiplier_2,background_multiplier_3,background_multiplier_4,background_multiplier_5,background_multiplier_6,background_multiplier_7,background_multiplier_8,background_multiplier_9,background_multiplier_10,background_multiplier_11,background_multiplier_12,background_multiplier_13,background_multiplier_14,background_multiplier_15,background_multiplier_16,background_multiplier_17,background_multiplier_18,background_multiplier_19,background_multiplier_20,background_multiplier_21,background_multiplier_22,background_multiplier_23,background_multiplier_24,background_multiplier_25,background_multiplier_26,background_multiplier_27,background_multiplier_28,background_multiplier_29,background_multiplier_30,background_multiplier_31,detector_override,pixel_override
28,0,108.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,4,gaussian,-269.229767,-232.516037,48938.617188,1,20,10,,,uniform,,,powerlaw,1.764130,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,112.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,,4,gaussian,-269.229767,-232.516037,59610.621094,1,20,10,,,uniform,,,powerlaw,2.148831,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,116.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,,4,gaussian,-269.229767,-232.516037,53182.281250,1,20,10,,,uniform,,,powerlaw,1.917104,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,120.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,,4,gaussian,-269.229767,-232.516037,64513.300781,1,20,10,,,uniform,,,powerlaw,2.325563,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,124.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,,4,gaussian,-269.229767,-232.516037,512446.875000,1,40,20,,,uniform,,,thermal,10.717724,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,,4,gaussian,-269.229767,-232.516037,51181.265625,1,20,10,,,uniform,,,powerlaw,1.844972,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,128.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,,4,gaussian,-269.229767,-232.516037,930747.812500,1,40,20,,,uniform,,,thermal,19.466404,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2,,4,gaussian,-269.229767,-232.516037,54703.296875,1,20,10,,,uniform,,,powerlaw,1.971933,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,132.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,,4,gaussian,-269.229767,-232.516037,1327779.625000,1,40,20,,,uniform,,,thermal,27.770245,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,,4,gaussian,-269.229767,-232.516037,69939.210938,1,20,10,,,uniform,,,powerlaw,2.521154,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,136.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,,4,gaussian,-269.229767,-232.516037,1879376.750000,1,40,20,,,uniform,,,thermal,39.306789,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2,,4,gaussian,-269.229767,-232.516037,63939.808594,1,20,10,,,uniform,,,powerlaw,2.304889,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,140.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,,4,gaussian,-269.229767,-232.516037,356575.187500,1,40,20,,,uniform,,,thermal,1.100776,1.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,,4,gaussian,-269.229767,-232.516037,49750.894531,1,20,10,,,uniform,,,powerlaw,1.793410,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,144.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,,4,gaussian,-269.229767,-232.516037,237930.125000,1,40,20,,,uniform,,,thermal,0.335902,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,,4,gaussian,-269.229767,-232.516037,32977.832031,1,20,10,,,uniform,,,powerlaw,1.188778,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,148.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,,4,gaussian,-269.229767,-232.516037,246298.640625,1,40,20,,,uniform,,,thermal,0.290785,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,,4,gaussian,-269.229767,-232.516037,19329.626953,1,20,10,,,uniform,,,powerlaw,0.696790,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,152.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,,4,gaussian,-269.229767,-232.516037,323748.218750,1,40,20,,,uniform,,,thermal,0.382223,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,,4,gaussian,-269.229767,-232.516037,18263.503906,1,20,10,,,uniform,,,powerlaw,0.658359,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,156.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,,4,gaussian,-269.229767,-232.516037,315614.250000,1,40,20,,,uniform,,,thermal,0.344028,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,,4,gaussian,-269.229767,-232.516037,15198.148438,1,20,10,,,uniform,,,powerlaw,0.547860,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,160.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,,4,gaussian,-269.229767,-232.516037,353492.375000,1,40,20,,,uniform,,,thermal,0.385317,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,,4,gaussian,-269.229767,-232.516037,12686.966797,1,20,10,,,uniform,,,powerlaw,0.457337,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,164.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,,4,gaussian,-269.229767,-232.516037,356893.406250,1,40,20,,,uniform,,,thermal,0.389024,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,,4,gaussian,-269.229767,-232.516037,10680.730469,1,20,10,,,uniform,,,powerlaw,0.385017,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,168.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,,4,gaussian,-269.229767,-232.516037,415376.937500,1,40,20,,,uniform,,,thermal,0.452772,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,,4,gaussian,-269.229767,-232.516037,10787.512695,1,20,10,,,uniform,,,powerlaw,0.388866,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,172.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,,4,gaussian,-269.229767,-232.516037,424421.812500,1,40,20,,,uniform,,,thermal,0.462632,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,,4,gaussian,-269.229767,-232.516037,9945.637695,1,20,10,,,uniform,,,powerlaw,0.358518,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,176.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,,4,gaussian,-269.229767,-232.516037,424270.031250,1,40,20,,,uniform,,,thermal,0.462466,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,,4,gaussian,-269.229767,-232.516037,10814.632812,1,20,10,,,uniform,,,powerlaw,0.389844,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,180.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,,4,gaussian,-269.229767,-232.516037,458526.875000,1,40,20,,,uniform,,,thermal,0.499807,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,,4,gaussian,-269.229767,-232.516037,13427.832031,1,20,10,,,uniform,,,powerlaw,0.484044,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,184.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
