energies,det-0,det-1,det-2,det-3,det-4,det-5,det-6,det-7,det-8,det-9,det-10,det-11,det-12,det-13,det-14,det-15,det-16,det-17,det-18,det-19,det-20,det-21,det-22,det-23,det-24,det-25,det-26,det-27,det-28,det-29,det-30,det-31,attenuator
3.48,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.7187055262106327e-09,3.7187055262106327e-09,3.7187055262106327e-09,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.7187055262106327e-09,3.7187055262106327e-09,3.7187055262106327e-09,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,3.387947002458197e-08,5.4928178506312216e-39
3.628,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,3.664980484989837e-08,3.664980484989837e-08,3.664980484989837e-08,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,3.664980484989837e-08,3.664980484989837e-08,3.664980484989837e-08,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,2.577593289886707e-07,6.767268300781388e-35
3.776,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,2.555516864193653e-07,2.555516864193653e-07,2.555516864193653e-07,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,2.555516864193653e-07,2.555516864193653e-07,2.555516864193653e-07,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,1.4425311576389777e-06,2.2149652321350253e-31
3.924,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,1.3426911918195366e-06,1.3426911918195366e-06,1.3426911918195366e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,1.3426911918195366e-06,1.3426911918195366e-06,1.3426911918195366e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,6.2801260042691575e-06,2.419381643752055e-28
4.072,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,2.743451820968205e-06,2.743451820968205e-06,2.743451820968205e-06,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,2.743451820968205e-06,2.743451820968205e-06,2.743451820968205e-06,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.0907891723601022e-05,1.1358673658392444e-25
4.22,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,1.0014238415979473e-05,1.0014238415979473e-05,1.0014238415979473e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,1.0014238415979473e-05,1.0014238415979473e-05,1.0014238415979473e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,3.457675907025136e-05,2.602397401994676e-23
4.368,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,2.815270700220485e-05,2.815270700220485e-05,2.815270700220485e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,2.815270700220485e-05,2.815270700220485e-05,2.815270700220485e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,8.599527462045331e-05,3.0334322392343857e-21
4.516,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,7.555964915462674e-05,7.555964915462674e-05,7.555964915462674e-05,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,7.555964915462674e-05,7.555964915462674e-05,7.555964915462674e-05,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,0.00020740263945682408,1.9937804062309682e-19
4.664,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.00017252301889805128,0.00017252301889805128,0.00017252301889805128,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.00017252301889805128,0.00017252301889805128,0.00017252301889805128,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,0.0004311983993783801,8.040915375573115e-18
4.811999999999999,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0003717377888458875,0.0003717377888458875,0.0003717377888458875,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0003717377888458875,0.0003717377888458875,0.0003717377888458875,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,0.0008555591253713709,2.133892338788407e-16
4.96,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.000718307501292533,0.000718307501292533,0.000718307501292533,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.000718307501292533,0.000718307501292533,0.000718307501292533,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,0.0015370062493563776,3.949422579615316e-15
5.108,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0013151193635917958,0.0013151193635917958,0.0013151193635917958,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0013151193635917958,0.0013151193635917958,0.0013151193635917958,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,0.0026374158642887835,5.00509630994923e-14
5.256,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.002253921983899192,0.002253921983899192,0.002253921983899192,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.002253921983899192,0.002253921983899192,0.002253921983899192,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,0.004266548561497155,5.384238427704257e-13
5.404,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.0036487642208574145,0.0036487642208574145,0.0036487642208574145,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.0036487642208574145,0.0036487642208574145,0.0036487642208574145,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,0.006559965973027205,4.543494924171236e-12
5.552,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.005620622286265032,0.005620622286265032,0.005620622286265032,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.005620622286265032,0.005620622286265032,0.005620622286265032,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,0.009649394952097618,3.100620314230151e-11
5.699999999999999,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.008290285015657624,0.008290285015657624,0.008290285015657624,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.008290285015657624,0.008290285015657624,0.008290285015657624,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,0.01365491256232869,1.756237672424513e-10
5.848,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.01177105439613287,0.01177105439613287,0.01177105439613287,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.01177105439613287,0.01177105439613287,0.01177105439613287,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,0.018677932195356982,8.442130666515881e-10
5.996,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.01616230838540374,0.01616230838540374,0.01616230838540374,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.01616230838540374,0.01616230838540374,0.01616230838540374,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,0.02479614137108925,2.917492730090459e-09
