energies,det-0,det-1,det-2,det-3,det-4,det-5,det-6,det-7,det-8,det-9,det-10,det-11,det-12,det-13,det-14,det-15,det-16,det-17,det-18,det-19,det-20,det-21,det-22,det-23,det-24,det-25,det-26,det-27,det-28,det-29,det-30,det-31
3.48,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.64121846680357e-09,6.64121846680357e-09,6.64121846680357e-09,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.64121846680357e-09,6.64121846680357e-09,6.64121846680357e-09,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08,6.050518396439096e-08
3.628,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,6.155665556037568e-08,6.155665556037568e-08,6.155665556037568e-08,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,6.155665556037568e-08,6.155665556037568e-08,6.155665556037568e-08,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07,4.3293006052863486e-07
3.776,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,4.0714465269553096e-07,4.0714465269553096e-07,4.0714465269553096e-07,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,4.0714465269553096e-07,4.0714465269553096e-07,4.0714465269553096e-07,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06,2.2982389801787572e-06
3.924,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,2.0436037790889025e-06,2.0436037790889025e-06,2.0436037790889025e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,2.0436037790889025e-06,2.0436037790889025e-06,2.0436037790889025e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06,9.558481737030635e-06
4.072,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,4.010883770875454e-06,4.010883770875454e-06,4.010883770875454e-06,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,4.010883770875454e-06,4.010883770875454e-06,4.010883770875454e-06,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05,1.594716756251177e-05
4.22,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,1.4128682885693721e-05,1.4128682885693721e-05,1.4128682885693721e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,1.4128682885693721e-05,1.4128682885693721e-05,1.4128682885693721e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05,4.878294722233592e-05
4.368,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,3.8499347636426466e-05,3.8499347636426466e-05,3.8499347636426466e-05,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,3.8499347636426466e-05,3.8499347636426466e-05,3.8499347636426466e-05,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217,0.00011760012891277217
4.516,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,9.928923609841783e-05,9.928923609841783e-05,9.928923609841783e-05,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,9.928923609841783e-05,9.928923609841783e-05,9.928923609841783e-05,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489,0.0002725376555722489
4.664,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.0002308499139792742,0.0002308499139792742,0.0002308499139792742,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.0002308499139792742,0.0002308499139792742,0.0002308499139792742,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719,0.000576978736172719
4.811999999999999,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.00047241910951197123,0.00047241910951197123,0.00047241910951197123,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.00047241910951197123,0.00047241910951197123,0.00047241910951197123,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742,0.001087278431922742
4.96,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0008954883398055769,0.0008954883398055769,0.0008954883398055769,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0008954883398055769,0.0008954883398055769,0.0008954883398055769,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662,0.0019161308660013662
5.108,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.00161126318862815,0.00161126318862815,0.00161126318862815,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.00161126318862815,0.00161126318862815,0.00161126318862815,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313,0.0032313196907284313
