; Table containing the spacecraft roll angle values from 1-6-2020 to 21-02-2022 (3 measurements per day)
UTC,Roll angle (degrees)
2020-08-11T06:11:24.989,-6.042050813547065
2020-08-11T14:10:54.545,-6.021385082857289
2020-08-11T22:10:24.101,-6.000435996493483
2020-08-12T06:09:53.657,-5.979387800602881
2020-08-12T14:09:23.213,-5.958218786186956
2020-08-12T22:08:52.769,-5.936364039082393
2020-08-13T06:08:22.325,-5.914935058587008
2020-08-13T14:07:51.881,-5.892960410149103
2020-08-13T22:07:21.437,-5.870767918197826
2020-08-14T06:06:50.993,-5.8486018726346485
2020-08-14T14:06:20.549,-5.825915236632133
2020-08-14T22:05:50.105,-5.803277475889307
2020-08-15T06:05:19.661,-5.780952045073283
2020-08-15T14:04:49.217,-5.758063171189427
2020-08-15T22:04:18.773,-5.734519786976938
2020-08-16T06:03:48.329,-5.710958985403167
2020-08-16T14:03:17.885,-5.687477146577866
2020-08-16T22:02:47.441,-5.663545269108521
2020-08-17T06:02:16.997,-5.640071460905757
2020-08-17T14:01:46.553,-5.615887683615665
2020-08-17T22:01:16.109,-5.591523954433248
2020-08-18T06:00:45.665,-5.56744502726838
2020-08-18T14:00:15.221,-5.543124343879517
2020-08-18T21:59:44.778,-5.518613557107994
2020-08-19T05:59:14.334,-5.493783534466477
2020-08-19T13:58:43.890,-5.469113428383958
2020-08-19T21:58:13.446,-5.444182231856088
2020-08-20T05:57:43.2,-5.4188951550106355
2020-08-20T13:57:12.558,-5.39348074822722
2020-08-20T21:56:42.114,-5.368310065735387
2020-08-21T05:56:11.670,-5.342708666866491
2020-08-21T13:55:41.226,-5.317095989059484
2020-08-21T21:55:10.782,-5.291581138044349
2020-08-22T05:54:40.338,-5.265538463786797
2020-08-22T13:54:09.894,-5.239714231274097
2020-08-22T21:53:39.450,-5.2133904871307415
2020-08-23T05:53:09.6,-5.1870536732664805
2020-08-23T13:52:38.562,-5.161032231819074
2020-08-23T21:52:08.118,-5.134578348199692
2020-08-24T05:51:37.674,-5.108145724707497
2020-08-24T13:51:07.230,-5.081238222074877
2020-08-24T21:50:36.786,-5.054823308693928
2020-08-25T05:50:06.342,-5.028092889905013
2020-08-25T13:49:35.898,-5.001298601336071
2020-08-25T21:49:05.454,-4.974227578754361
2020-08-26T05:48:35.10,-4.9469955309900255
2020-08-26T13:48:04.566,-4.9199267708341665
2020-08-26T21:47:34.122,-4.892394770615765
2020-08-27T05:47:03.678,-4.865422216472584
2020-08-27T13:46:33.234,-4.8375582072728225
2020-08-27T21:46:02.790,-4.809900972929254
2020-08-28T05:45:32.346,-4.782263444133415
2020-08-28T13:45:01.902,-4.7549874462605155
2020-08-28T21:44:31.458,-4.726701372756416
2020-08-29T05:44:01.14,-4.698929023397306
2020-08-29T13:43:30.570,-4.671113773729503
2020-08-29T21:43:00.126,-4.643126325018803
2020-08-30T05:42:29.682,-4.615083642056552
2020-08-30T13:41:59.238,-4.586947891939837
2020-08-30T21:41:28.794,-4.558777236096381
2020-08-31T05:40:58.350,-4.530630959607113
2020-08-31T13:40:27.906,-4.501493375327738
2020-08-31T21:39:57.463,-4.473132501706176
2020-09-01T05:39:27.19,-4.44479875799982
2020-09-01T13:38:56.575,-4.416764982448178
2020-09-01T21:38:26.131,-4.387866394433934
2020-09-02T05:37:55.687,-4.359384819939386
2020-09-02T13:37:25.243,-4.330371951950382
2020-09-02T21:36:54.799,-4.30164971799082
2020-09-03T05:36:24.355,-4.272898010520791
2020-09-03T13:35:53.911,-4.243420205378722
2020-09-03T21:35:23.467,-4.214843192252058
2020-09-04T05:34:53.23,-4.185243882196367
2020-09-04T13:34:22.579,-4.156414684833545
